player,player_id,team_prev,position,age,gp_prev,pts_prev,pred_pts,pred_pts_low,pred_pts_high,reb_prev,pred_reb,pred_reb_low,pred_reb_high,ast_prev,pred_ast,pred_ast_low,pred_ast_high,stl_prev,pred_stl,pred_stl_low,pred_stl_high,blk_prev,pred_blk,pred_blk_low,pred_blk_high,fg3m_prev,pred_fg3m,pred_fg3m_low,pred_fg3m_high,tov_prev,pred_tov,pred_tov_low,pred_tov_high,min_prev,pred_min,pred_min_low,pred_min_high,pred_gp,pred_gp_low,pred_gp_high,fgm_prev,pred_fgm,pred_fgm_low,pred_fgm_high,fga_prev,pred_fga,pred_fga_low,pred_fga_high,ftm_prev,pred_ftm,pred_ftm_low,pred_ftm_high,fta_prev,pred_fta,pred_fta_low,pred_fta_high,pred_fg_pct,pred_ft_pct,z_PTS,z_REB,z_AST,z_STL,z_BLK,z_FG3M,z_TOV,z_FG_PCT,z_FT_PCT,value_total,value_points_league,n_prior_seasons,team_changed,role_change,flags
Coby White,whiteco01,CHO,SG,26.9596167008898,50.0,17.36,16.47387167835603,12.98775346435768,20.012831371073236,3.4,3.4446360811069345,2.0786481919629956,4.788517533761788,4.0,3.8862140965997334,2.988251624949176,4.849655265317476,0.5,0.6397050030589062,0.3654860518628985,0.9237467811310454,0.1,0.14620177213871385,0.0,0.3765365334444705,2.3,2.2236079669261195,1.6955286949617028,2.8051082345127716,2.56,2.3390372512841933,1.8844875844642508,2.8134452110691215,24.996,25.91908419600821,18.591395633837152,32.10238968567924,61.45013568319483,33.82472826326336,79.23954611624715,5.56,5.438572443145404,4.161428636555613,6.736942279450458,12.46,12.101800789115298,9.515955766779134,14.771631899907335,3.94,3.5856927690330376,2.8283875887202026,4.382801386094269,4.82,4.421730864361852,3.492207793279964,5.380874809929524,0.4494019144685483,0.8109251510382299,-0.053175953963794896,-0.7967305551659318,0.052220602045132083,-1.2736344757510192,-1.0010287739439447,0.5816892024586268,-0.6832941528168384,-0.6209757795437351,0.16128196916692353,-3.633647917514582,26.455439194892616,2,1,unknown,ROSTER_CHANGE
Luke Kornet,kornelu01,SAS,C,31.550992470910334,68.0,6.529411764705882,5.450052690001016,1.9639344760026671,8.98901238271822,6.088235294117647,5.759646128095644,4.506446229798453,6.99256489199918,1.8529411764705883,1.619670770128979,0.7217082984784213,2.5831119388467214,0.47058823529411764,0.49597660358270146,0.22175765238669376,0.7800183816548406,0.9558823529411765,0.8486784099408624,0.6354369065051938,1.079013171246619,0.0,0.06620269062929784,0.0,0.64770295821595,0.4117647058823529,0.49090417549459936,0.03635450867465684,0.9653121352795274,21.033823529411762,20.032024503148605,13.547344359634394,25.50397626391943,61.41828640442818,37.603280007935524,76.75398505361123,2.573529411764706,2.1423090183178393,0.8651652117280484,3.4406788546228944,4.0,3.5911482987167056,1.0053032763805412,6.260979409508742,1.3823529411764706,1.2329323110065429,0.4756271306937079,2.0300409280677743,1.6764705882352942,1.5205450941764762,0.5910220230945884,2.479689039744148,0.596552645593442,0.8108488960495421,-2.4487703052121876,0.3191019107795502,-1.1789506038762283,-1.8107953515345805,0.812115641216954,-2.2176190834343887,2.2638350679605512,0.7660738840901538,-0.14151576868062646,-3.6365246086908027,18.334195063985348,2,0,,
Goga Bitadze,bitadgo01,ORL,C,27.537303216974674,64.0,5.859375,6.561118444022077,3.0750002300237287,10.100078136739283,5.0,5.502060730247927,4.2488608319507355,6.734979494151463,1.3125,1.5246850176067084,0.6267225459561507,2.488126186324451,0.578125,0.60786010189576,0.3336411506997523,0.8919018799678992,0.953125,0.9290293269740745,0.7157878235384059,1.159364088279831,0.03125,0.12179907279078198,0.0,0.7032993403774341,0.671875,0.8415606174831007,0.3870109506631582,1.3159685772680287,15.1875,17.406626147629424,10.921946004115213,22.87857790840025,60.874890712687844,37.059884316195195,76.21058936187089,2.375,2.378530199889909,1.1013863933001182,3.676900036194964,3.515625,3.886143692251371,1.3002986699152066,6.555974803043408,1.078125,1.1518073637026702,0.3945021833898352,1.9489159807639018,1.515625,1.5680395182276932,0.6385164471458054,2.527183463795365,0.6120541051100321,0.7345525098784007,-2.2073237750206056,0.19494601346677795,-1.2305462306230972,-1.3926494725114094,1.0195073303237139,-2.1454808463770205,1.7046600495725366,0.9589414785433056,-0.6115255661436438,-3.7094710187694413,19.219726515856056,2,0,,
T.J. McConnell,mccontj01,IND,PG,34.85557837097878,56.0,9.375,7.903741905125188,4.41762369112684,11.442701597842394,2.2142857142857144,2.16733717145354,0.9141372731563482,3.400255935357076,5.125,4.962395373877715,4.064432902227158,5.925836542595458,1.0,0.9564353356175617,0.682216384421554,1.2404771136897008,0.17857142857142858,0.15838061786577476,0.0,0.3887153791715314,0.2857142857142857,0.4996784075465921,0.0,1.0811786751332444,1.1428571428571428,1.142206500937248,0.6876568341173055,1.616614460722176,17.185714285714287,17.57255191784511,11.0878717743309,23.044503678615936,58.68570919665296,34.8707028001603,74.02140784583601,4.321428571428571,3.9266698302852716,2.649526023695481,5.225039666590327,8.035714285714286,7.475032760398585,4.88918773806242,10.144863871190621,0.44642857142857145,0.3996769266250536,0.0,1.196785543686285,0.5178571428571429,0.49351145138245817,0.0,1.4526553969501301,0.5253046984741099,0.8098635310395558,-1.9155572662753342,-1.4123873182810396,0.6367950884280726,-0.08990778398755138,-0.9695942679051178,-1.6551692834678065,1.2252344714898549,0.686409920043698,-0.25016428478067554,-3.7443407247359,20.15038093119877,2,0,,
Jarace Walker,walkeja02,IND,PF,23.411362080766597,76.0,11.631578947368421,11.994758066666813,8.508639852668464,15.533717759384018,5.144736842105263,4.948029646212521,3.694829747915329,6.180948410116057,2.526315789473684,2.7452465009328146,1.847284029282257,3.708687669650557,0.8289473684210527,0.8464885530583253,0.5722696018623176,1.1305303311304644,0.34210526315789475,0.37236626319216876,0.15912475975650012,0.6027010244979254,1.75,1.7748009999804333,1.2467217280160168,2.3563012675670856,1.8289473684210527,1.7127276060837862,1.2581779392638437,2.187135565868714,25.70394736842105,24.97581287630666,18.491132732792448,30.447764637077483,64.6109164522263,40.79591005573366,79.94661510140935,4.0394736842105265,4.00900061407052,2.731856807480729,5.307370450375575,9.644736842105264,9.435805568801122,6.849960546464958,12.10563667959316,1.8026315789473684,1.815175030267682,1.057869849954847,2.6122836473289137,2.4078947368421053,2.4033279870814144,1.4738049159995266,3.362471932649086,0.4248710494126776,0.7552756178202786,-1.0265354837326737,-0.07209640024275142,-0.5675453800425528,-0.5008155115092918,-0.4172814124028283,-0.0006534269680013251,0.3154518145622884,-0.9707615154446355,-0.5800130819695756,-3.820250397750022,23.994100236188757,2,0,,
Olivier-Maxence Prosper,prospol01,MEM,PF,24.583162217659137,53.0,10.0,10.7265343066592,7.240416092660851,14.265493999376405,3.5283018867924527,3.743643869813676,2.490443971516484,4.9765626337172115,0.9622641509433962,1.52136368897586,0.6234012173253023,2.4848048576936024,0.7547169811320755,0.74380701332786,0.46958806213185234,1.0278487913999992,0.24528301886792453,0.3092031899167268,0.09596168648105816,0.5395379512224835,1.1320754716981132,1.1568524556744315,0.6287731837100149,1.7383527232610838,0.8867924528301887,1.0566679103468066,0.6021182435268642,1.5310758701317346,18.558490566037737,19.709456215599467,13.224776072085255,25.18140797637029,60.41133592000836,36.596329523515706,75.74703456919141,3.6226415094339623,3.863625389094477,2.5864815825046863,5.161995225399532,6.60377358490566,7.277117886486923,4.691272864150758,9.946948997278959,1.6226415094339623,1.598378639184522,0.841073458871687,2.3954872562457536,2.150943396226415,2.097421467537542,1.1678983964556544,3.056565413105214,0.5309279648016899,0.762068408244664,-1.3021341377746694,-0.652609107985372,-1.2323503541657388,-0.8845706079928702,-0.5803099992496149,-0.802463128342498,1.3616387613841308,0.7455523938732472,-0.4877490018165535,-3.834995182069939,19.603315183286355,2,0,,
Gui Santos,santogu01,GSW,PF,24.61327857631759,68.0,9.191176470588236,10.160544279396646,6.674426065398297,13.69950397211385,3.911764705882353,4.018257924527991,2.7650580262307995,5.251176688431527,2.338235294117647,2.62075685369835,1.7227943820477922,3.5841980224160923,0.8970588235294118,0.8803869135861359,0.6061679623901282,1.1644286916582751,0.3235294117647059,0.36459270146294187,0.15135119802727323,0.5949274627686986,1.1470588235294117,1.1898319119713792,0.6617526400069625,1.7713321795580312,1.5,1.4918332075997252,1.0372835407797827,1.9662411673846532,20.526470588235295,20.92724800843234,14.442567864918129,26.399199769203165,62.484654254097755,38.6696478576051,77.8203529032808,3.3823529411764706,3.554247436576098,2.277103629986307,4.852617272881153,6.764705882352941,7.18762071579799,4.601775693461825,9.857451826590026,1.2794117647058822,1.3318747391949999,0.5745695588821649,2.1289833562562315,1.7647058823529411,1.7972702763714898,0.867747205289602,2.7564142219391616,0.4944956860013579,0.7410542291301465,-1.425129854014693,-0.5202454155453553,-0.6351673254606601,-0.3741260535100031,-0.4373455530116238,-0.7596711382187145,0.667701522663144,0.21743785444553104,-0.6107484038918247,-3.8772943665441995,21.15669470692527,2,0,,
Marvin Bagley III,baglema01,DEN,PF,27.887748117727583,60.0,10.45,9.490527027052929,6.00440881305458,13.029486719770134,6.1,5.811800465904409,4.445812576760471,7.155681918559263,1.4166666666666667,1.5382110401291325,0.6402485684785748,2.501652208846875,0.4666666666666667,0.5248423574542148,0.2506234062582071,0.808884135526354,0.7166666666666667,0.6340079620455115,0.42076645860984285,0.8643427233512682,0.4,0.45718840436327285,0.0,1.038688671949925,1.0166666666666666,1.0301043716906502,0.5755547048707077,1.5045123314755782,20.015,20.46233475611951,13.134646193948452,26.645640245790542,59.55413633455747,31.928728914626,77.3435467676098,4.233333333333333,4.018106527673987,2.7409627210841956,5.316476363979041,6.85,6.823304930377515,4.23745990804135,9.493136041169551,1.5833333333333333,1.5954658292127852,0.8381606488999502,2.3925744462740166,2.4,2.310211787231585,1.3806887161496972,3.269355732799257,0.588879812447672,0.6906145306810563,-1.5707318043595881,0.3442402480591687,-1.223198985474167,-1.7029144199561148,0.25803525938485394,-1.7103015385361962,1.4039983630850859,1.4719199262530676,-1.1621757569989608,-3.8911287085428503,21.218450733140443,2,1,unknown,ROSTER_CHANGE
Jaxson Hayes,hayesja02,UTA,C,26.694045174537987,66.0,7.53030303030303,7.994352427701594,4.508234213703245,11.533312120418799,4.106060606060606,4.693159933255505,3.3271720441115664,6.037041385910359,0.8939393939393939,1.2081199804017129,0.3101575087511552,2.171561149119455,0.4393939393939394,0.5468688012958485,0.2726498500998408,0.8309105793679876,0.7878787878787878,0.7961810506825707,0.5829395472469021,1.0265158119883273,0.045454545454545456,0.06984061875307415,0.0,0.6513408863397263,0.4696969696969697,0.7061086512190738,0.2515589843991313,1.180516611004002,18.283333333333335,19.937920303097904,12.610231740926846,26.121225792768936,62.889504615569436,35.264097195637966,80.67891504862176,3.0,3.5644746051410334,2.2873307985512428,4.8628444414460885,3.9696969696969697,5.268465355325787,2.682620332989623,7.938296466117825,1.4848484848484849,1.5658566374200553,0.8085514571072203,2.3629652544812867,2.272727272727273,2.2862688945063003,1.3567458234244125,3.245412840073972,0.6765679120462995,0.6848960947606245,-1.89586662582877,-0.194943340226261,-1.4025022457834557,-1.6205942667540456,0.6766160549991477,-2.2128987453262656,1.920658806922797,2.0188324112229123,-1.2051375093037482,-3.91583546007769,18.76136522292695,2,1,unknown,ROSTER_CHANGE
Obi Toppin,toppiob01,IND,PF,28.914442162902123,24.0,11.625,11.220682827887758,7.734564613889409,14.759642520604963,4.416666666666667,4.324271649116221,3.071071750819029,5.5571904130197565,2.2916666666666665,2.3683872905920116,1.470424818941454,3.331828459309754,0.5,0.5467304176967576,0.27251146650074987,0.8307721957688967,0.041666666666666664,0.1282960494091461,0.0,0.35863081071490277,1.5416666666666667,1.51104418288389,0.9829649109194735,2.0925444504705424,1.1666666666666667,1.21803411394068,0.7634844471207376,1.692442073725608,17.666666666666668,18.51571863315223,12.031038489638018,23.987670393923054,54.8499017736939,31.03489537720125,70.18560042287695,4.166666666666667,4.024064664850385,2.7469208582605935,5.322434501155439,8.291666666666666,8.189593789356774,5.60374876702061,10.859424900148811,1.75,1.4323599063125643,0.6750547259997293,2.2294685233737956,1.9166666666666667,1.6980473853088203,0.7685243142269325,2.6571913308764925,0.49136315772829586,0.8435335307513011,-1.1947503529553283,-0.37274711446255615,-0.7722527875909101,-1.6211114523315144,-1.0472447751879312,-0.3428870590403555,1.104315812031992,0.21562145491128482,0.09725935138224003,-3.9337969232430785,20.76943503009227,2,0,,
Josh Minott,minotjo01,BRK,PF,24.186173853524984,49.0,7.428571428571429,8.101183240091801,4.615065026093452,11.640142932809006,3.2244897959183674,3.5769379840017352,2.2109500948577963,4.920819436656589,0.9387755102040817,1.2367354864169429,0.3387730147663852,2.200176655134685,0.8979591836734694,0.8501706365659457,0.575951685369938,1.134212414638085,0.4897959183673469,0.4890339079192046,0.2757924044835359,0.7193686692249612,1.3061224489795917,1.2827714861400774,0.7546922141756608,1.8642717537267295,0.8775510204081632,0.9830749061715529,0.5285252393516104,1.457482865956481,17.012244897959185,18.7787799177361,11.45109135556504,24.96208540740713,58.88770307513526,31.262295655203793,76.67711350818759,2.5714285714285716,2.8851137440721373,1.6079699374823464,4.183483580377192,5.142857142857143,5.873087129006105,3.287242106669941,8.542918239798142,0.9795918367346939,1.1472442800384877,0.38993909972565266,1.9443528970997193,1.2448979591836735,1.4640751735695035,0.5345521024876156,2.4232191191371752,0.49124313682034226,0.7835965671362605,-1.8726511420684142,-0.7329611737982729,-1.3869584939224762,-0.487054339681945,-0.11615354980424392,-0.6390788123742257,1.4789939972656267,0.1155945350217959,-0.305781336536384,-3.9460503158985394,17.2831507778032,2,1,unknown,ROSTER_CHANGE
Jaylen Wells,wellsja01,MEM,SG,23.43600273785079,69.0,12.53623188405797,12.492042878782549,9.0059246647842,16.031002571499755,3.1884057971014492,3.026922254919411,1.7737223566222189,4.2598410188229465,1.608695652173913,1.9896622012385574,1.0916997295879998,2.9531033699563,0.8840579710144928,0.8870462819658892,0.6128273307698815,1.1710880600380285,0.13043478260869565,0.171786432465896,0.0,0.4021211937716527,1.8695652173913044,1.9017683267382572,1.3736890547738407,2.4832685943249095,1.0724637681159421,1.1752939969374427,0.7207443301175003,1.6497019567223707,26.38550724637681,25.922094043425012,19.4374138999108,31.394045804195837,65.9252413598497,42.110234963357044,81.26094000903274,4.36231884057971,4.313323097177811,3.03617929058802,5.611692933482866,10.115942028985508,9.893239055021295,7.307394032685131,12.563070165813333,1.9420289855072463,1.938468837483575,1.18116365717074,2.7355774545448064,2.4782608695652173,2.476607396420479,1.5470843253385913,3.4357513419881514,0.4359869475698752,0.7827113979734159,-0.9184701491943896,-0.9980681905427775,-0.977973728164328,-0.3492377769823995,-0.9349928640079846,0.16409108985312232,1.1724714277556434,-0.7941201191073606,-0.31881865842598817,-3.9551189688164627,21.11004703290159,2,0,,
